Age,Gender,Marital Status,Occupation,Vehicle Age,Vehicle,Property Value,Zip Code,Claim History,Coverage Type,Premium
62,Female,Single,IT Professional,1,Toyota Corolla,410705,BD1 3EB,Yes,Collision,1413
18,Female,Married,Retired,2,Tesla Model S,605209,CW1 2BB,No,Comprehensive,6956
42,Male,Divorced,Engineer,18,BMW X5,162938,OL4 1ES,Yes,Comprehensive,7278
24,Female,Single,Sales Associate,15,BMW X5,280842,CV1 2WT,Yes,Collision,7668
26,Male,Widowed,Nurse,1,Nissan Altima,414418,CW1 2BB,No,Comprehensive,9195
41,Male,Widowed,Nurse,5,BMW X5,575031,DN1 1QR,Yes,Comprehensive,1177
18,Male,Married,Teacher,2,Tesla Model S,619234,PE1 1HA,Yes,Comprehensive,9937
61,Male,Divorced,Engineer,3,Tesla Model S,300033,BD1 3EB,No,Comprehensive,5354
25,Female,Married,Teacher,19,Toyota Corolla,170044,DN1 1QR,No,Comprehensive,9843
41,Male,Divorced,Retired,18,BMW X5,249372,AL1 3NJ,No,Comprehensive,6914
28,Male,Single,Teacher,18,Honda Accord,426850,BD1 3EB,Yes,Comprehensive,6482
34,Female,Single,Engineer,14,Tesla Model S,287046,SE1 8DP,No,Comprehensive,4271
25,Male,Single,IT Professional,8,Toyota Camry,488608,CV1 2WT,Yes,Liability-only,7687
52,Female,Single,Sales Associate,12,Toyota Camry,695501,TQ2 5HB,No,Collision,6392
52,Female,Widowed,Nurse,10,Ford F-150,676238,BS2 8JD,Yes,Comprehensive,1289
50,Female,Widowed,Retired,17,Toyota Corolla,404043,TQ2 5HB,Yes,Collision,9994
22,Male,Married,Nurse,11,Hyundai Elantra,474888,SW1A 1AA,No,Comprehensive,9425
59,Female,Divorced,Driver,2,Honda Accord,613026,SE1 8DP,Yes,Comprehensive,1407
56,Female,Single,Sales Associate,4,Tesla Model S,398966,SW1A 1AA,Yes,Liability-only,1693
58,Male,Single,Lawyer,1,Audi Q5,595292,OL4 1ES,No,Collision,2169
45,Female,Divorced,Teacher,15,Buick Encore,288117,M1 1AA,Yes,Collision,9623
24,Female,Divorced,Student,13,Buick Encore,469767,MK9 1AN,Yes,Liability-only,8782
26,Female,Married,Engineer,8,Hyundai Elantra,179714,SE1 8DP,Yes,Liability-only,4044
25,Female,Divorced,Nurse,4,Nissan Altima,521427,OL4 1ES,No,Collision,6530
29,Female,Single,Teacher,10,Audi Q5,420706,MK9 1AN,No,Comprehensive,5992
51,Male,Single,Retired,19,Buick Encore,467192,OL4 1ES,No,Comprehensive,4924
50,Female,Single,Nurse,18,Hyundai Elantra,505439,SW1A 1AA,No,Collision,7970
40,Female,Single,Lawyer,5,Buick Encore,162026,BS2 8JD,No,Comprehensive,4312
41,Male,Single,Sales Associate,19,Toyota Corolla,256147,M1 1AA,No,Liability-only,5318
54,Male,Married,Sales Associate,16,Ford F-150,438988,E1 6AN,No,Liability-only,2688
52,Male,Single,Nurse,1,Nissan Altima,502559,DN1 1QR,No,Liability-only,1467
61,Female,Married,Retired,12,Toyota Corolla,358574,CW1 2BB,Yes,Collision,3422
57,Male,Single,Sales Associate,2,Audi Q5,364340,AL1 3NJ,Yes,Collision,8279
39,Female,Widowed,Sales Associate,8,Hyundai Elantra,204708,PE1 1HA,Yes,Collision,5507
44,Female,Widowed,Lawyer,18,Honda Accord,607141,PE1 1HA,Yes,Comprehensive,5721
52,Male,Widowed,Engineer,16,Audi Q5,497692,DN1 1QR,No,Collision,6371
18,Male,Widowed,Retired,5,Audi Q5,562028,TQ2 5HB,Yes,Collision,8541
52,Female,Married,Retired,13,BMW X5,382409,TQ2 5HB,Yes,Liability-only,2486
54,Male,Married,IT Professional,19,Honda Accord,404451,DN1 1QR,Yes,Comprehensive,4749
64,Female,Divorced,IT Professional,3,Toyota Camry,397174,SW1A 1AA,Yes,Comprehensive,9059
31,Male,Single,Sales Associate,8,BMW X5,589844,PE1 1HA,Yes,Liability-only,3503
20,Male,Widowed,Student,12,Hyundai Elantra,369700,E1 6AN,No,Comprehensive,8855
18,Male,Married,IT Professional,2,Toyota Camry,437249,CW1 2BB,No,Collision,8055
22,Female,Single,Sales Associate,11,Buick Encore,664539,PE1 1HA,Yes,Comprehensive,1399
43,Male,Single,Small Business Owner,12,Buick Encore,481301,CW1 2BB,Yes,Liability-only,5382
31,Female,Married,Driver,18,Audi Q5,575658,AL1 3NJ,Yes,Comprehensive,2539
56,Female,Widowed,Driver,13,BMW X5,499379,SW1A 1AA,Yes,Liability-only,9428
44,Female,Divorced,Retired,5,Tesla Model S,414491,DN1 1QR,No,Collision,8185
26,Female,Single,Student,12,Honda Accord,298182,PE1 1HA,Yes,Collision,5910
32,Male,Divorced,Lawyer,2,Toyota Camry,343242,SW1A 1AA,No,Liability-only,5509
32,Female,Widowed,Engineer,5,Honda Accord,605987,M1 1AA,Yes,Collision,7051
43,Female,Widowed,IT Professional,7,BMW X5,274926,OL4 1ES,No,Collision,7152
59,Male,Divorced,Small Business Owner,12,Audi Q5,231147,PE1 1HA,No,Comprehensive,9611
30,Female,Widowed,Sales Associate,16,Toyota Corolla,460279,CW1 2BB,No,Collision,5124
49,Male,Single,Student,8,Buick Encore,693487,OL4 1ES,Yes,Liability-only,3395
56,Female,Divorced,Retired,9,Toyota Camry,333208,BS2 8JD,Yes,Collision,9852
49,Male,Widowed,IT Professional,15,Toyota Camry,579791,DN1 1QR,No,Comprehensive,4950
21,Female,Divorced,Student,5,Hyundai Elantra,370868,PE1 1HA,Yes,Liability-only,1449
47,Male,Single,IT Professional,13,Toyota Camry,270787,PE1 1HA,Yes,Collision,1379
54,Female,Widowed,Engineer,5,BMW X5,264427,SE1 8DP,No,Collision,8285
40,Female,Single,Engineer,11,Toyota Camry,298063,OL4 1ES,Yes,Collision,3301
56,Male,Widowed,Lawyer,10,Toyota Camry,370782,PE1 1HA,No,Liability-only,8710
62,Male,Married,Driver,13,Honda Accord,638633,M1 1AA,Yes,Comprehensive,6792
32,Male,Widowed,Teacher,9,Audi Q5,275607,AL1 3NJ,Yes,Liability-only,9918
60,Male,Divorced,Teacher,14,Ford F-150,229876,MK9 1AN,No,Liability-only,8216
46,Female,Widowed,IT Professional,18,Toyota Camry,642108,OL4 1ES,No,Comprehensive,5905
53,Female,Single,Lawyer,15,Tesla Model S,317071,AL1 3NJ,No,Liability-only,6999
30,Male,Single,Teacher,10,Audi Q5,605884,CV1 2WT,No,Liability-only,9607
49,Female,Widowed,Retired,7,Nissan Altima,612590,CW1 2BB,Yes,Collision,8122
24,Male,Divorced,Teacher,8,Hyundai Elantra,610725,BS2 8JD,Yes,Liability-only,1599
39,Male,Married,Nurse,3,Honda Accord,393722,SE1 8DP,Yes,Collision,8288
45,Female,Divorced,Sales Associate,15,Hyundai Elantra,646564,M1 1AA,No,Liability-only,8921
19,Female,Married,Lawyer,16,Toyota Corolla,487927,TQ2 5HB,Yes,Collision,2567
59,Female,Single,Retired,4,Toyota Camry,467399,TQ2 5HB,Yes,Collision,2094
62,Female,Divorced,Student,6,Buick Encore,222219,BS2 8JD,Yes,Collision,7191
23,Female,Married,Retired,1,Tesla Model S,470739,SE1 8DP,No,Comprehensive,2458
45,Female,Widowed,Driver,4,Honda Accord,516042,SW1A 1AA,No,Liability-only,9046
45,Female,Single,Student,11,Hyundai Elantra,440515,BS2 8JD,Yes,Liability-only,5934
61,Male,Widowed,Small Business Owner,12,Toyota Camry,612574,SW1A 1AA,Yes,Liability-only,2354
61,Male,Single,Sales Associate,5,Buick Encore,309950,MK9 1AN,No,Comprehensive,7473
37,Male,Divorced,Sales Associate,16,Buick Encore,317229,DN1 1QR,No,Collision,9404
47,Male,Divorced,Sales Associate,13,Toyota Corolla,155914,BS2 8JD,No,Liability-only,4894
28,Male,Single,Sales Associate,13,Audi Q5,364772,BD1 3EB,No,Comprehensive,9032
45,Female,Single,IT Professional,17,Tesla Model S,439324,CW1 2BB,Yes,Comprehensive,3963
42,Male,Single,Sales Associate,7,Ford F-150,377561,E1 6AN,No,Liability-only,4042
56,Male,Divorced,Sales Associate,8,Tesla Model S,337435,SE1 8DP,Yes,Collision,7973
50,Male,Married,Sales Associate,13,Toyota Corolla,570576,M1 1AA,No,Comprehensive,8139
18,Male,Widowed,Lawyer,16,BMW X5,556669,OL4 1ES,Yes,Liability-only,7930
44,Male,Widowed,IT Professional,4,Audi Q5,276599,DN1 1QR,Yes,Collision,2732
30,Male,Divorced,Engineer,8,Honda Accord,340093,DN1 1QR,No,Comprehensive,8870
58,Male,Widowed,Retired,16,Audi Q5,224176,BS2 8JD,Yes,Comprehensive,6340
20,Female,Single,Retired,10,Toyota Corolla,244799,BS2 8JD,Yes,Liability-only,6111
56,Female,Married,Student,12,Toyota Corolla,238919,SE1 8DP,Yes,Liability-only,4081
23,Male,Widowed,Lawyer,12,Honda Accord,329340,SW1A 1AA,No,Collision,8802
25,Female,Married,Nurse,5,Honda Accord,181159,CV1 2WT,No,Liability-only,8527
44,Female,Single,Retired,16,Honda Accord,192039,E1 6AN,No,Liability-only,5868
26,Female,Widowed,Teacher,1,Audi Q5,197800,TQ2 5HB,Yes,Collision,2529
54,Female,Divorced,Nurse,9,Toyota Camry,452905,BS2 8JD,Yes,Liability-only,2081
50,Male,Married,Sales Associate,12,Hyundai Elantra,629319,PE1 1HA,Yes,Collision,8994
59,Female,Single,Sales Associate,5,Nissan Altima,268368,BD1 3EB,Yes,Collision,4531
61,Female,Married,IT Professional,3,Honda Accord,268998,MK9 1AN,No,Collision,1716
41,Female,Widowed,Nurse,5,Hyundai Elantra,391324,TQ2 5HB,Yes,Liability-only,7229
32,Male,Widowed,Teacher,2,Nissan Altima,659662,AL1 3NJ,Yes,Collision,1204
49,Male,Divorced,IT Professional,14,Audi Q5,578583,BD1 3EB,Yes,Liability-only,7784
49,Male,Single,Student,2,Hyundai Elantra,663520,E1 6AN,No,Collision,5094
41,Male,Single,Nurse,13,Honda Accord,472038,DN1 1QR,Yes,Liability-only,6482
58,Male,Divorced,Lawyer,7,Ford F-150,383229,MK9 1AN,No,Collision,6740
29,Male,Divorced,Sales Associate,10,Toyota Corolla,211748,PE1 1HA,No,Comprehensive,8219
56,Male,Single,Sales Associate,13,Hyundai Elantra,191190,DN1 1QR,Yes,Comprehensive,7154
19,Female,Married,Driver,16,Buick Encore,190318,DN1 1QR,Yes,Comprehensive,5842
20,Female,Married,IT Professional,14,Buick Encore,274078,BD1 3EB,Yes,Collision,9103
54,Female,Divorced,Engineer,11,Hyundai Elantra,189759,AL1 3NJ,Yes,Liability-only,3018
34,Male,Married,Engineer,10,Honda Accord,645926,OL4 1ES,No,Collision,6051
19,Male,Single,IT Professional,6,Tesla Model S,529179,CW1 2BB,No,Collision,9709
19,Male,Widowed,Lawyer,4,Honda Accord,517375,OL4 1ES,No,Collision,8835
45,Male,Widowed,Small Business Owner,1,Audi Q5,583855,CW1 2BB,No,Collision,2438
40,Male,Married,IT Professional,7,Honda Accord,435626,CV1 2WT,No,Liability-only,5086
54,Female,Divorced,Lawyer,9,Audi Q5,481356,CV1 2WT,No,Collision,6127
49,Female,Divorced,Student,8,Tesla Model S,598477,SW1A 1AA,No,Comprehensive,3052
50,Male,Divorced,Sales Associate,5,Ford F-150,630533,CV1 2WT,No,Comprehensive,8529
18,Male,Divorced,Teacher,19,Audi Q5,545252,BD1 3EB,No,Comprehensive,8147
36,Male,Divorced,Small Business Owner,10,BMW X5,560140,CV1 2WT,No,Collision,5368
19,Male,Married,Nurse,11,Buick Encore,541637,DN1 1QR,Yes,Liability-only,5517
61,Female,Widowed,Small Business Owner,15,Toyota Corolla,210204,CW1 2BB,Yes,Liability-only,3312
43,Male,Widowed,Teacher,6,Buick Encore,398827,OL4 1ES,Yes,Liability-only,6577
49,Male,Married,Driver,15,Audi Q5,395256,SE1 8DP,No,Collision,9973
23,Male,Divorced,Sales Associate,5,BMW X5,494087,MK9 1AN,Yes,Liability-only,2244
49,Male,Married,Engineer,19,Toyota Camry,171518,BS2 8JD,No,Comprehensive,3416
21,Female,Widowed,Lawyer,19,Ford F-150,560275,CW1 2BB,No,Liability-only,7490
28,Male,Single,IT Professional,10,Ford F-150,697340,OL4 1ES,Yes,Collision,7168
34,Male,Married,IT Professional,12,Toyota Camry,221524,TQ2 5HB,No,Collision,6839
55,Female,Divorced,Engineer,4,Toyota Corolla,668855,TQ2 5HB,Yes,Liability-only,9608
41,Female,Widowed,Small Business Owner,18,Tesla Model S,432187,OL4 1ES,No,Collision,9406
22,Female,Widowed,Sales Associate,16,Nissan Altima,152419,BS2 8JD,No,Liability-only,8097
51,Male,Widowed,Retired,8,BMW X5,271831,PE1 1HA,Yes,Liability-only,6009
23,Male,Widowed,Lawyer,4,Audi Q5,586700,DN1 1QR,Yes,Comprehensive,2582
39,Female,Divorced,Student,12,Nissan Altima,344941,SE1 8DP,Yes,Collision,9924
28,Female,Single,Teacher,2,Toyota Corolla,326282,PE1 1HA,Yes,Comprehensive,8876
33,Female,Widowed,Small Business Owner,4,Tesla Model S,490641,PE1 1HA,Yes,Collision,3427
50,Female,Married,Nurse,5,Ford F-150,287559,OL4 1ES,Yes,Liability-only,6721
26,Female,Single,Driver,3,Audi Q5,389040,AL1 3NJ,No,Collision,9423
23,Female,Widowed,IT Professional,9,Audi Q5,495182,M1 1AA,No,Liability-only,5930
33,Male,Single,Small Business Owner,18,Tesla Model S,656805,CW1 2BB,No,Collision,5353
46,Male,Married,Driver,11,Buick Encore,415161,BD1 3EB,No,Comprehensive,8832
20,Male,Widowed,Teacher,3,BMW X5,498405,TQ2 5HB,Yes,Comprehensive,6375
37,Female,Married,IT Professional,2,Tesla Model S,341196,DN1 1QR,No,Liability-only,1402
53,Female,Divorced,IT Professional,9,Honda Accord,594165,PE1 1HA,No,Comprehensive,7567
36,Female,Widowed,Retired,14,Honda Accord,385067,MK9 1AN,Yes,Liability-only,5865
43,Female,Widowed,Small Business Owner,4,Tesla Model S,546412,CV1 2WT,No,Liability-only,9146
20,Female,Widowed,Sales Associate,9,Ford F-150,487232,TQ2 5HB,Yes,Liability-only,1064
36,Female,Widowed,Engineer,13,Tesla Model S,330786,BD1 3EB,Yes,Collision,3237
37,Male,Divorced,Engineer,18,Hyundai Elantra,444065,E1 6AN,Yes,Liability-only,8770
49,Male,Widowed,Student,15,Toyota Corolla,215350,DN1 1QR,No,Comprehensive,1172
24,Female,Single,Nurse,10,Honda Accord,331417,AL1 3NJ,Yes,Collision,8935
58,Male,Widowed,Driver,16,Nissan Altima,390678,BD1 3EB,No,Comprehensive,3675
50,Female,Divorced,Small Business Owner,12,Tesla Model S,493275,TQ2 5HB,No,Liability-only,5005
57,Male,Widowed,Lawyer,5,Honda Accord,172063,BS2 8JD,No,Liability-only,7544
56,Female,Single,Nurse,2,Toyota Corolla,614952,DN1 1QR,Yes,Comprehensive,9829
35,Female,Divorced,Retired,10,Toyota Corolla,491090,M1 1AA,Yes,Collision,1948
57,Male,Divorced,IT Professional,1,Nissan Altima,327043,SE1 8DP,Yes,Comprehensive,2694
18,Male,Single,Sales Associate,7,Audi Q5,284670,TQ2 5HB,No,Liability-only,5757
28,Female,Single,Small Business Owner,17,Hyundai Elantra,160564,TQ2 5HB,No,Collision,7282
45,Female,Single,Nurse,16,Tesla Model S,666939,BS2 8JD,Yes,Liability-only,1142
42,Male,Single,Nurse,3,Toyota Camry,461869,PE1 1HA,No,Liability-only,7001
40,Male,Single,Sales Associate,14,Tesla Model S,255940,TQ2 5HB,Yes,Comprehensive,7652
48,Female,Divorced,Student,10,Audi Q5,692150,AL1 3NJ,Yes,Liability-only,5581
47,Male,Divorced,Driver,7,BMW X5,422409,TQ2 5HB,No,Comprehensive,6087
59,Female,Widowed,Driver,17,Buick Encore,290777,AL1 3NJ,No,Collision,2460
52,Female,Widowed,Nurse,6,Ford F-150,336351,PE1 1HA,Yes,Liability-only,4887
24,Female,Married,Teacher,4,Audi Q5,241080,M1 1AA,No,Liability-only,9484
33,Female,Widowed,Nurse,17,Toyota Corolla,623050,OL4 1ES,Yes,Collision,1837
43,Male,Widowed,Nurse,9,Toyota Camry,606195,BD1 3EB,Yes,Comprehensive,6846
19,Male,Single,Sales Associate,4,Ford F-150,467972,CV1 2WT,No,Liability-only,9463
18,Male,Single,IT Professional,7,Honda Accord,641422,TQ2 5HB,Yes,Collision,3369
29,Male,Widowed,Sales Associate,2,Tesla Model S,529028,PE1 1HA,No,Liability-only,9997
22,Male,Married,Small Business Owner,17,Ford F-150,680338,CV1 2WT,Yes,Comprehensive,4174
54,Male,Single,Nurse,8,Honda Accord,629786,TQ2 5HB,No,Comprehensive,6985
49,Male,Widowed,Driver,15,Buick Encore,420628,BD1 3EB,No,Comprehensive,1882
26,Female,Widowed,Lawyer,15,Honda Accord,474792,M1 1AA,Yes,Comprehensive,4171
58,Male,Divorced,Driver,8,Toyota Camry,472089,OL4 1ES,No,Collision,3040
52,Male,Married,Engineer,16,Toyota Corolla,236332,SE1 8DP,No,Liability-only,7732
36,Female,Divorced,Student,19,Audi Q5,630579,M1 1AA,Yes,Collision,7372
33,Male,Married,Retired,11,Nissan Altima,405540,SW1A 1AA,No,Comprehensive,6985
20,Male,Single,Small Business Owner,2,Audi Q5,404547,TQ2 5HB,Yes,Comprehensive,8562
37,Female,Married,Small Business Owner,17,Audi Q5,460112,CV1 2WT,No,Comprehensive,6900
41,Male,Widowed,Student,16,Honda Accord,421251,AL1 3NJ,Yes,Comprehensive,8965
50,Male,Widowed,Lawyer,15,Tesla Model S,664756,DN1 1QR,Yes,Liability-only,6316
41,Male,Married,Retired,13,Ford F-150,416013,AL1 3NJ,Yes,Comprehensive,9465
28,Female,Married,IT Professional,15,Nissan Altima,605911,E1 6AN,Yes,Liability-only,1589
25,Male,Married,Nurse,4,Nissan Altima,603638,CW1 2BB,No,Comprehensive,9774
53,Male,Divorced,Retired,16,Ford F-150,682259,BS2 8JD,Yes,Liability-only,6063
55,Female,Married,Lawyer,12,Ford F-150,437795,BS2 8JD,No,Liability-only,4633
57,Male,Single,Teacher,4,Toyota Corolla,469118,PE1 1HA,Yes,Comprehensive,2990
37,Female,Divorced,Engineer,3,Toyota Camry,644509,CV1 2WT,No,Collision,7515
52,Female,Divorced,Retired,17,Buick Encore,173446,BS2 8JD,Yes,Collision,2258
42,Male,Married,Retired,18,Toyota Camry,319180,BS2 8JD,No,Collision,3866
52,Female,Single,Engineer,18,Ford F-150,678111,M1 1AA,No,Collision,4738
42,Female,Divorced,Nurse,17,Tesla Model S,294526,SE1 8DP,Yes,Collision,1571
46,Male,Widowed,Retired,12,Hyundai Elantra,355162,TQ2 5HB,Yes,Comprehensive,9736
35,Female,Divorced,Engineer,4,Hyundai Elantra,217965,TQ2 5HB,Yes,Comprehensive,5222
63,Female,Married,Engineer,12,Buick Encore,616196,CV1 2WT,No,Comprehensive,1637
35,Male,Single,Engineer,15,Ford F-150,422654,E1 6AN,No,Comprehensive,9232
19,Male,Married,Sales Associate,16,Hyundai Elantra,587261,SE1 8DP,No,Comprehensive,5882
52,Male,Widowed,Lawyer,5,Buick Encore,615899,E1 6AN,No,Comprehensive,5392
